text,label
I feel so stressed lately and nothing is helping.,stress
I am really happy with how my day went today!,normal
I feel depressed and empty inside.,depression
I can't sleep and my heart is always racing.,anxiety
Everything feels like too much to handle.,stress
I had a very productive and peaceful day.,normal
"No matter what I do, I feel hopeless.",depression
I am scared and worried about my future.,anxiety
My mood is stable and I feel positive.,normal
I don’t feel motivated to do anything anymore.,depression
I am overwhelmed with work and life issues.,stress
I feel calm and relaxed today.,normal
I have constant anxiety and fear for no reason.,anxiety
I think everything is going well for me.,normal
I cry often and feel emotionally drained.,depression
I feel tension and pressure in my mind.,stress
Today was a good day and I enjoyed every moment.,normal
I avoid people because I feel anxious.,anxiety
I feel worthless and mentally exhausted.,depression
I’m doing great and maintaining balance in my life.,normal
My workload is giving me headaches.,stress
I don’t feel stressed at all today.,normal
I worry too much about things that may not happen.,anxiety
Some days I feel like nothing matters.,depression
I feel like I can handle anything today.,normal
I'm stressed due to constant expectations.,stress
I feel energetic and motivated today.,normal
I panic when things go out of control.,anxiety
I feel like crying without any reason.,depression
I am doing good and staying positive.,normal
I can't focus because of stress.,stress
I feel light and cheerful today.,normal
I get anxious when talking to strangers.,anxiety
I feel like I'm losing interest in everything.,depression
I handled all my work calmly today.,normal
I feel mentally drained but trying to manage.,stress
I feel at peace with myself today.,normal
I constantly worry about small things.,anxiety
I feel sad and disconnected from everything.,depression
I'm grateful for today and feeling good.,normal
My stress levels are higher than usual.,stress
I'm feeling relaxed after a long time.,normal
I get anxious about situations I can't control.,anxiety
I feel like disappearing sometimes.,depression
I'm proud of my progress and feel stable.,normal
Stress is slowly eating me up.,stress
I’m cheerful and full of energy today.,normal
I get scared about my thoughts.,anxiety
I feel emotionally numb today.,depression
I'm confident and steady today.,normal
I am under a lot of pressure lately.,stress
I feel calm while listening to music.,normal
I feel fear almost every night.,anxiety
I feel hopeless about my future.,depression
I'm doing well and feel balanced.,normal
I feel overwhelmed with decisions.,stress
I'm thankful and happy today.,normal
I feel nervous when I wake up.,anxiety
I feel no joy in things I used to love.,depression
I handled stress very well today.,normal
I am stressed about meeting deadlines.,stress
My mind feels clear and fresh today.,normal
I feel shaky and anxious for no reason.,anxiety
I feel like staying in bed all day.,depression
I feel normal and emotionally stable.,normal
I feel pressure building inside me.,stress
I am relaxed and in a good mood.,normal
I feel anxious about talking to others.,anxiety
I feel broken and emotionally tired.,depression
I feel fine and things are manageable.,normal
I'm stressed about my responsibilities.,stress
I'm feeling happy and peaceful today.,normal
I feel anxious even during simple tasks.,anxiety
I feel empty and numb.,depression
I’m optimistic about everything today.,normal
I'm mentally exhausted and stressed.,stress
I feel free and joyful this morning.,normal
I overthink everything and get anxious.,anxiety
I feel like I’m fading away.,depression
I'm confident and ready for the day.,normal
I feel pressure from everyone around me.,stress
I'm relaxed and enjoying the weather.,normal
I get nervous when something changes suddenly.,anxiety
I feel worthless and sad.,depression
I'm content with how life is going.,normal
I feel stressed about finances.,stress
I'm feeling positive today.,normal
I get anxious in crowded places.,anxiety
I feel tired of everything in life.,depression
I'm happy and productive today.,normal
I feel stuck and under pressure.,stress
I feel joyful and hopeful.,normal
I fear the worst will happen.,anxiety
I feel drained and lifeless.,depression
I'm doing great mentally and emotionally.,normal
